,Date/Time,Temp(F),Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
0,2012-01-01 00:00:00,54.36,-1.8,-3.9,86,4,8.0,101.24,Fog
1,2012-01-01 01:00:00,54.36,-1.8,-3.7,87,4,8.0,101.24,Fog
2,2012-01-01 02:00:00,54.36,-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog"
3,2012-01-01 03:00:00,54.9,-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog"
4,2012-01-01 04:00:00,54.9,-1.5,-3.3,88,7,4.8,101.23,Fog
5,2012-01-01 05:00:00,55.080000000000005,-1.4,-3.3,87,9,6.4,101.27,Fog
6,2012-01-01 06:00:00,54.9,-1.5,-3.1,89,7,6.4,101.29,Fog
7,2012-01-01 07:00:00,55.080000000000005,-1.4,-3.6,85,7,8.0,101.26,Fog
8,2012-01-01 08:00:00,55.080000000000005,-1.4,-3.6,85,9,8.0,101.23,Fog
9,2012-01-01 09:00:00,55.26,-1.3,-3.1,88,15,4.0,101.2,Fog
10,2012-01-01 10:00:00,55.800000000000004,-1.0,-2.3,91,9,1.2,101.15,Fog
11,2012-01-01 11:00:00,56.7,-0.5,-2.1,89,7,4.0,100.98,Fog
12,2012-01-01 12:00:00,57.24,-0.2,-2.0,88,9,4.8,100.79,Fog
13,2012-01-01 13:00:00,57.96000000000001,0.2,-1.7,87,13,4.8,100.58,Fog
14,2012-01-01 14:00:00,59.04,0.8,-1.1,87,20,4.8,100.31,Fog
15,2012-01-01 15:00:00,60.839999999999996,1.8,-0.4,85,22,6.4,100.07,Fog
16,2012-01-01 16:00:00,62.28,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy
17,2012-01-01 17:00:00,63.0,3.0,0.0,81,13,16.1,99.81,Cloudy
18,2012-01-01 18:00:00,64.44,3.8,1.0,82,15,12.9,99.74,Rain
19,2012-01-01 19:00:00,63.18000000000001,3.1,1.3,88,15,12.9,99.68,Rain
20,2012-01-01 20:00:00,63.36000000000001,3.2,1.3,87,19,25.0,99.5,Cloudy
21,2012-01-01 21:00:00,64.8,4.0,1.7,85,20,25.0,99.39,Cloudy
22,2012-01-01 22:00:00,65.52,4.4,1.9,84,24,19.3,99.32,Rain Showers
23,2012-01-01 23:00:00,67.14,5.3,2.0,79,30,25.0,99.31,Cloudy
24,2012-01-02 00:00:00,66.96000000000001,5.2,1.5,77,35,25.0,99.26,Rain Showers
25,2012-01-02 01:00:00,65.88000000000001,4.6,0.0,72,39,25.0,99.26,Cloudy
26,2012-01-02 02:00:00,64.62,3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy
27,2012-01-02 03:00:00,64.26,3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy
28,2012-01-02 04:00:00,62.82,2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy
29,2012-01-02 05:00:00,62.28,2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy
30,2012-01-02 06:00:00,61.739999999999995,2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy
31,2012-01-02 07:00:00,61.2,2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy
32,2012-01-02 08:00:00,61.019999999999996,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy
33,2012-01-02 09:00:00,60.839999999999996,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy
34,2012-01-02 10:00:00,60.300000000000004,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy
35,2012-01-02 11:00:00,61.56000000000001,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy
36,2012-01-02 12:00:00,60.660000000000004,1.7,-6.2,56,48,24.1,99.21,Mainly Clear
37,2012-01-02 13:00:00,59.580000000000005,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy
38,2012-01-02 14:00:00,59.580000000000005,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy
39,2012-01-02 15:00:00,57.6,0.0,-7.0,59,33,24.1,99.41,Mostly Cloudy
40,2012-01-02 16:00:00,56.34,-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy
41,2012-01-02 17:00:00,53.82,-2.1,-9.5,57,22,25.0,99.66,Snow Showers
42,2012-01-02 18:00:00,50.22,-4.1,-11.4,57,28,25.0,99.86,Mostly Cloudy
43,2012-01-02 19:00:00,48.96,-4.8,-12.1,57,24,25.0,100.0,Mostly Cloudy
44,2012-01-02 20:00:00,47.519999999999996,-5.6,-13.4,54,24,25.0,100.07,Snow Showers
45,2012-01-02 21:00:00,47.16,-5.8,-12.8,58,26,25.0,100.15,Snow Showers
46,2012-01-02 22:00:00,45.0,-7.0,-14.7,54,20,25.0,100.26,Cloudy
47,2012-01-02 23:00:00,44.28,-7.4,-14.1,59,17,19.3,100.27,Snow Showers
48,2012-01-03 00:00:00,41.4,-9.0,-16.0,57,28,25.0,100.35,Snow Showers
49,2012-01-03 01:00:00,40.14,-9.7,-17.2,54,20,25.0,100.43,Cloudy
50,2012-01-03 02:00:00,38.7,-10.5,-15.8,65,22,12.9,100.53,Snow Showers
51,2012-01-03 03:00:00,37.26,-11.3,-18.7,54,33,25.0,100.61,Snow Showers
52,2012-01-03 04:00:00,34.92,-12.6,-20.1,53,24,25.0,100.68,Cloudy
53,2012-01-03 05:00:00,34.38,-12.9,-19.1,60,22,25.0,100.76,Snow Showers
54,2012-01-03 06:00:00,33.66,-13.3,-19.3,61,19,25.0,100.85,Snow Showers
55,2012-01-03 07:00:00,32.4,-14.0,-19.5,63,19,25.0,100.95,Snow
56,2012-01-03 08:00:00,30.96,-14.8,-21.3,58,26,24.1,101.07,Mostly Cloudy
57,2012-01-03 09:00:00,30.6,-15.0,-21.9,56,19,24.1,101.2,Mostly Cloudy
58,2012-01-03 10:00:00,30.06,-15.3,-22.2,56,24,24.1,101.29,Cloudy
59,2012-01-03 11:00:00,30.780000000000005,-14.9,-22.2,54,22,24.1,101.33,Mostly Cloudy
60,2012-01-03 12:00:00,30.780000000000005,-14.9,-22.6,52,20,24.1,101.34,Mainly Clear
61,2012-01-03 13:00:00,30.419999999999998,-15.1,-22.4,54,22,24.1,101.34,Mainly Clear
62,2012-01-03 14:00:00,30.780000000000005,-14.9,-22.9,50,22,24.1,101.38,Mainly Clear
63,2012-01-03 15:00:00,30.96,-14.8,-22.2,53,19,24.1,101.44,Mainly Clear
64,2012-01-03 16:00:00,30.06,-15.3,-22.9,52,22,24.1,101.51,Mainly Clear
65,2012-01-03 17:00:00,29.16,-15.8,-23.2,53,22,24.1,101.58,Mainly Clear
66,2012-01-03 18:00:00,28.259999999999998,-16.3,-23.8,52,24,25.0,101.64,Mainly Clear
67,2012-01-03 19:00:00,27.180000000000003,-16.9,-24.8,50,24,25.0,101.74,Clear
68,2012-01-03 20:00:00,26.46,-17.3,-25.4,49,24,25.0,101.82,Mainly Clear
69,2012-01-03 21:00:00,27.0,-17.0,-24.6,52,15,25.0,101.86,Mostly Cloudy
70,2012-01-03 22:00:00,26.819999999999997,-17.1,-24.6,52,20,25.0,101.86,Mostly Cloudy
71,2012-01-03 23:00:00,26.46,-17.3,-24.2,55,17,25.0,101.87,Mostly Cloudy
72,2012-01-04 00:00:00,26.1,-17.5,-24.2,56,13,25.0,101.88,Mostly Cloudy
73,2012-01-04 01:00:00,25.380000000000003,-17.9,-24.1,58,11,25.0,101.86,Mainly Clear
74,2012-01-04 02:00:00,25.02,-18.1,-23.8,61,15,25.0,101.89,Mainly Clear
75,2012-01-04 03:00:00,24.3,-18.5,-24.6,59,13,25.0,101.88,Mainly Clear
76,2012-01-04 04:00:00,24.3,-18.5,-24.6,59,13,25.0,101.82,Mainly Clear
77,2012-01-04 05:00:00,24.119999999999997,-18.6,-24.0,62,9,25.0,101.77,Mainly Clear
78,2012-01-04 06:00:00,24.3,-18.5,-24.1,61,11,25.0,101.74,Cloudy
